"Date","Price","Open","High","Low","Vol.","Change %"
"17-12-2024","1,231.90","1,235.10","1,259.50","1,229.05","2.68M","-0.90%"
"16-12-2024","1,243.15","1,258.00","1,261.85","1,240.95","1.34M","-1.33%"
"13-12-2024","1,259.95","1,241.95","1,262.00","1,230.00","2.82M","1.28%"
"12-12-2024","1,244.00","1,233.80","1,268.00","1,223.45","5.46M","0.83%"
"11-12-2024","1,233.80","1,254.10","1,258.35","1,230.75","2.60M","-1.20%"
"10-12-2024","1,248.75","1,272.90","1,272.90","1,244.40","2.41M","-1.43%"
"09-12-2024","1,266.85","1,257.80","1,277.55","1,249.00","2.85M","0.62%"
"06-12-2024","1,259.05","1,279.00","1,282.50","1,256.10","2.23M","-1.41%"
"05-12-2024","1,277.05","1,274.00","1,284.80","1,254.20","4.37M","0.59%"
"04-12-2024","1,269.55","1,301.00","1,301.00","1,262.00","4.87M","-1.48%"
"03-12-2024","1,288.65","1,226.95","1,309.50","1,220.00","16.75M","5.99%"
"02-12-2024","1,215.80","1,201.90","1,220.90","1,189.40","6.94M","2.16%"
"29-11-2024","1,190.05","1,175.00","1,215.60","1,168.90","9.41M","1.92%"
